Brand,Lineup / Model,,,Eff.,Form Factor,Tier,Models,Part number,Rated
,TUF GAMING,,Gold,G,ATX,B*,750-1200W,,,,,,,,,Great Wall,Hunters Fire,,LLC,SR,DC-DC,,,,,,,,,,
,,,Bronze,B,ATX,B,450-750W,TUF-GAMING-[W]B,,6,,,No,,Full,Great Wall,Corsair CX platform,,LLC,SR,DC-DC,Champion,DBB,,,,,,,,
AZZA,Platinum,,New,P,ATX,,,,,,,,Full,,,,,,,,,,,,,,,,,,
,,,Old,,ATX,,,PSAZ-[W]PT14,,,,,Semi,,,Super Flower,,,,,,,,,,,,,,,
,PSAZ,G,-,G,ATX,C*,,PSAZ-[W]G,,,,,,,,Helly,ATX-0500GQ,,LLC,SR,DC-DC,,,,,,,,,,
,,W (New),-,B,ATX,E,,PSAZ-[W]W,,,,,,,,,,,,,,,,,,,,,,,
,,,ARGB,,ATX,E,,PSAZ-[W]W ARGB,,,,,,,,,,,,,,,,,,,,,,,
,,W,-,B,ATX,E,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ARGB,,ATX,E,,,,,,,,,,,,,,,,,,,,,,,,,
be quiet!,Dark Power Pro,,12,T,ATX,A+,1200/1500W,,50,10,,,Full,,Full,CWT,CTT mod,I,LLC,SR,DC-DC,Branded,,2x UCD3138A (digital),,,,,,,Fully digital
,,,11,P,ATX,X,550/650/750W,BN650 – BN655,40,5,,,Full,,Full,FSP,<Custom>,,LLC,SR,DC-DC,Branded,,,,,,,,,
,,,,,ATX,,850-1200W,Check,50,5,,,,,,,<Custom> (but different to ^),FB,,,,Branded,FDB,CM6901,ICE2PCS02,,SITI PS223S,,,,
,,,10,G,ATX,X,550/650/750W,BN600 – BN602,50,5,,,Semi,,Full,FSP,Aurum Xilenser mod.,FB,LLC,SR,DC-DC,Branded,FDB,CM6901,NCP1654B,,SITI PS232F,Y,Y,Y,
,,,,P,ATX,,850W,Check,40,,,,,,,Seasonic,XP,,,,,,,,,,SITI PS232F,Y,Y,Y,
,,,,G,ATX,,1000/1200W,BN603 / BN604,40,,,,,,,Seasonic,XM,FB,,,,,,CM6901,,,SITI PS232F & AS393,Y,Y,Y,
,,,9,G,ATX,X,,,,,,,,,,FSP,,,LLC,,DC-DC,,,,,,,,,,
